Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
1050;0;-48.1018;-8.1141;-92.9304;9.11937;3176.75;5.24197;0;0;5.76529e-52;0.01;0;2.20341;102;0;-1
1050;1;-37.6466;-31.7938;-86.3532;10.485;4828.26;6.02871;0;0;7.20661e-52;0.01;0;4.62795;102;0;-1
1050;2;-34.9214;-18.9097;-98.0394;9.12491;3182.54;5.24864;0;0;4.61223e-52;0.01;0;2.94444;102;0;-1
1050;3;-35.6838;1.88904;-87.5974;9.47673;3565.04;5.45987;0;0;1.12603e-51;0.01;0;3.74607;102;0;-1
1050;4;-40.7275;19.7751;-85.0667;10.7155;5153.8;6.16351;0;0;4.61223e-52;0.01;0;4.36482;102;0;-1
1050;5;-16.6552;-42.3756;-99.5155;10.0154;4208.22;5.77527;0;0;1.40754e-51;0.01;0;2.88143;102;0;-1
1050;6;-21.3119;-27.0612;-91.2118;9.4715;3559.14;5.48215;0;0;3.43638e-51;0.01;0;4.65346;102;0;-1
1050;7;-23.9846;-9.83832;-89.5577;9.33182;3403.99;5.38609;0;0;4.61223e-52;0.01;0;5.19817;102;0;-1
1050;8;-23.5034;14.5772;-84.9955;9.59385;3698.85;5.53543;0;0;9.00826e-52;0.01;0;5.42533;102;0;-1
1050;9;-27.5083;31.4298;-91.4724;9.80155;3944.32;5.66266;0;0;1.75943e-51;0.01;0;3.59101;102;0;-1
1050;10;-6.21015;-53.7357;-90.3097;8.86205;2915.35;5.11079;0;0;1.40754e-51;0.01;0;4.24922;102;0;-1
1050;11;-7.55639;-37.7009;-85.5545;9.99692;4184.92;5.77153;0;0;2.19928e-51;0.01;0;5.42187;102;0;-1
1050;12;-9.31441;-15.7156;-94.3488;9.68747;3808.2;5.59419;0;0;1.40754e-51;0.01;0;3.05948;102;0;-1
1050;13;-11.6133;2.48349;-92.7339;10.9069;5434.89;6.27108;0;0;4.61223e-52;0.01;0;2.93637;102;0;-1
1050;14;-10.5196;27.1047;-86.6312;10.9214;5456.67;6.27218;0;0;7.20661e-52;0.01;0;4.62665;102;0;-1
1050;15;-13.3246;43.0139;-95.663;10.4315;4754.73;6.02578;0;0;3.43638e-51;0.01;0;1.74626;102;0;-1
1050;16;8.82746;-45.7475;-87.1701;10.7547;5210.53;6.19226;0;0;1.12603e-51;0.01;0;4.03584;102;0;-1
1050;17;11.7746;-26.1207;-88.3029;10.6906;5117.9;6.13426;0;0;4.61223e-52;0.01;0;4.27153;102;0;-1
1050;18;15.1909;-8.87698;-85.8935;9.48035;3569.13;5.49693;0;0;4.29548e-51;0.01;0;4.06858;102;0;-1
1050;19;12.8176;11.5151;-85.8737;9.40788;3487.9;5.42142;0;0;9.00826e-52;0.01;0;3.70553;102;0;-1
1050;20;13.7677;28.8823;-85.9583;9.50849;3601;5.49112;0;0;1.12603e-51;0.01;0;4.67345;102;0;-1
1050;21;10.3399;56.9332;-89.6586;11.0738;5688.3;6.36186;0;0;7.20661e-52;0.01;0;2.32619;102;0;-1
1050;22;28.2394;-54.3593;-86.0482;10.1645;4398.94;5.85123;0;0;1.75943e-51;0.01;0;3.68631;102;0;-1
1050;23;27.8335;-36.3308;-90.3716;10.7965;5271.55;6.20325;0;0;5.76529e-52;0.01;0;3.52282;102;0;-1
1050;24;27.5691;-19.4224;-84.5913;9.00011;3053.74;5.1912;0;0;9.00826e-52;0.01;0;4.57821;102;0;-1
1050;25;27.4242;2.12049;-86.3366;9.23038;3294.18;5.32308;0;0;5.76529e-52;0.01;0;5.04999;102;0;-1
1050;26;27.2903;18.8236;-88.3735;9.59176;3696.44;5.51656;0;0;5.76529e-52;0.01;0;4.95732;102;0;-1
1050;27;23.8002;43.9666;-86.926;10.5699;4946.51;6.08579;0;0;5.76529e-52;0.01;0;3.72467;102;0;-1
1050;28;44.3624;-44.3069;-86.3849;10.7262;5169.25;6.17784;0;0;1.40754e-51;0.01;0;3.60815;102;0;-1
1050;29;41.852;-26.8143;-84.5432;9.08634;3142.36;5.21879;0;0;1.75943e-51;0.01;0;4.83067;102;0;-1
1050;30;41.7442;-8.96274;-87.7239;10.9521;5502.75;6.29802;0;0;5.76529e-52;0.01;0;3.43072;102;0;-1
1050;31;43.5879;10.987;-87.8018;10.9223;5457.95;6.27057;0;0;7.20661e-52;0.01;0;4.63237;102;0;-1
