Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
1050;0;-53.2878;1.4011;-84.1572;9.04924;3104.02;5.19144;0;0;1.12603e-51;0.01;0;3.09566;102;0;-1
1050;1;-40.8247;-27.3593;-85.3456;10.556;4927.06;6.08151;0;0;4.61223e-52;0.01;0;4.63593;102;0;-1
1050;2;-34.9498;-12.3829;-91.8773;9.01578;3069.72;5.19676;0;0;4.61223e-52;0.01;0;3.19219;102;0;-1
1050;3;-36.7324;2.63322;-84.3933;9.57382;3675.74;5.52121;0;0;5.76529e-52;0.01;0;5.35111;102;0;-1
1050;4;-39.1467;20.8343;-84.7786;10.6573;5070.32;6.1397;0;0;4.61223e-52;0.01;0;4.13227;102;0;-1
1050;5;-28.0165;-39.0815;-92.9343;10.0156;4208.42;5.77381;0;0;5.76529e-52;0.01;0;3.45128;102;0;-1
1050;6;-23.5829;-22.853;-86.0321;9.3708;3446.82;5.42002;0;0;1.12603e-51;0.01;0;5.34208;102;0;-1
1050;7;-22.278;-5.85426;-84.4361;9.36071;3435.69;5.40172;0;0;7.20661e-52;0.01;0;5.04626;102;0;-1
1050;8;-23.9446;13.3864;-90.2992;9.54305;3640.41;5.49172;0;0;5.76529e-52;0.01;0;3.91841;102;0;-1
1050;9;-23.8365;30.9094;-86.8699;9.77516;3912.55;5.62711;0;0;4.61223e-52;0.01;0;5.17803;102;0;-1
1050;10;-6.5017;-50.9037;-80.7714;8.79727;2851.89;5.053;0;0;5.76529e-52;0.01;0;5.22956;102;0;-1
1050;11;-11.6857;-35.8861;-86.3784;9.89527;4058.56;5.69441;0;0;3.68979e-52;0.01;0;4.94365;102;0;-1
1050;12;-8.28074;-14.8397;-86.6476;9.57375;3675.66;5.51091;0;0;7.20661e-52;0.01;0;4.25561;102;0;-1
1050;13;-7.81275;5.05183;-85.2514;10.9387;5482.59;6.29277;0;0;5.76529e-52;0.01;0;4.33546;102;0;-1
