Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
360;0;-53.7654;-7.79338;-91.3797;10.5868;4970.31;6.27192;0;0;2.44678e-18;0.01;0;5.05544;101;0;-1
360;1;-46.8981;-26.5334;-94.0375;12.3764;7940.86;7.34228;0;0;1.25275e-18;0.01;0;4.95754;101;0;-1
360;2;-38.1942;-11.4647;-103.207;10.5078;4859.88;6.23321;0;0;4.77887e-18;0.01;0;3.75554;101;0;-1
360;3;-39.213;4.24722;-92.8086;11.2547;5971.57;6.69291;0;0;1.56594e-18;0.01;0;5.75003;101;0;-1
360;4;-38.2915;25.8237;-95.2608;12.551;8281.87;7.44481;0;0;1.25275e-18;0.01;0;2.10495;101;0;-1
360;5;-21.906;-43.8122;-102.944;11.6183;6569.26;6.8982;0;0;1.95743e-18;0.01;0;3.17425;101;0;-1
360;6;-25.2073;-25.4727;-93.7827;11;5575.28;6.52807;0;0;1.0022e-18;0.01;0;6.56988;101;0;-1
360;7;-22.9214;-6.1322;-93.7388;10.9044;5431.17;6.48519;0;0;1.95743e-18;0.01;0;5.98466;101;0;-1
360;8;-22.6217;12.865;-96.5681;11.2642;5986.69;6.69295;0;0;1.95743e-18;0.01;0;4.16697;101;0;-1
360;9;-20.2258;33.7049;-93.1209;11.4649;6312.52;6.80608;0;0;1.95743e-18;0.01;0;4.43682;101;0;-1
360;10;-8.97898;-54.5065;-92.9222;10.3676;4667.95;6.14065;0;0;1.25275e-18;0.01;0;5.40264;101;0;-1
360;11;-6.78321;-35.5932;-94.4247;11.6091;6553.66;6.89114;0;0;1.25275e-18;0.01;0;4.62077;101;0;-1
360;12;-7.82806;-18.0499;-94.6983;11.1582;5819.31;6.62405;0;0;1.25275e-18;0.01;0;4.23036;101;0;-1
360;13;-5.00626;1.11718;-99.3081;12.7591;8700.55;7.5589;0;0;1.95743e-18;0.01;0;3.28742;101;0;-1
