Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
150;0;-48.5438;-5.19689;-91.5185;9.44621;3530.7;5.64731;0;0;2.34599e-08;0.01;0;2.62703;101;0;-1
150;1;-37.0968;-32.656;-86.0469;10.9103;5439.97;6.54512;0;0;2.18488e-07;0.01;0;3.68446;101;0;-1
150;2;-34.5306;-15.0835;-89.3916;9.46442;3551.16;5.65975;0;0;1.8768e-08;0.01;0;3.90967;101;0;-1
150;3;-34.9372;1.82958;-84.6034;9.9808;4164.71;5.97555;0;0;1.8768e-08;0.01;0;5.90566;101;0;-1
150;4;-36.2369;20.0207;-86.7611;11.2013;5887.04;6.70472;0;0;3.66562e-08;0.01;0;4.04445;101;0;-1
150;5;-18.7143;-40.3322;-94.9498;10.4134;4730.1;6.23882;0;0;2.93249e-08;0.01;0;2.9277;101;0;-1
150;6;-20.833;-24.9673;-85.1262;9.71806;3844.39;5.83441;0;0;4.58202e-08;0.01;0;6.28894;101;0;-1
150;7;-20.8707;-7.17262;-84.5242;9.73619;3865.95;5.83599;0;0;1.8768e-08;0.01;0;5.36738;101;0;-1
150;8;-20.2456;10.9177;-86.0734;9.9897;4175.86;6.01157;0;0;1.39832e-07;0.01;0;5.5281;101;0;-1
150;9;-20.5042;28.9033;-85.9655;10.2257;4478.9;6.12226;0;0;1.8768e-08;0.01;0;5.16344;101;0;-1
150;10;-5.92225;-49.3118;-84.3649;9.19621;3257.74;5.49877;0;0;2.34599e-08;0.01;0;4.28464;101;0;-1
150;11;-5.52007;-33.1559;-85.5372;10.2691;4536.09;6.15611;0;0;4.58202e-08;0.01;0;5.69807;101;0;-1
150;12;-6.4946;-16.1123;-85.8495;9.95523;4132.78;5.96121;0;0;1.8768e-08;0.01;0;5.70931;101;0;-1
150;13;-5.05863;0.94328;-88.9419;11.3878;6185.96;6.81209;0;0;2.34599e-08;0.01;0;4.53668;101;0;-1
150;14;-4.99056;19.5858;-88.7401;11.3649;6148.78;6.80179;0;0;3.66562e-08;0.01;0;4.67844;101;0;-1
150;15;-5.71648;37.6705;-89.7567;10.8083;5288.85;6.47335;0;0;4.58202e-08;0.01;0;3.15175;101;0;-1
150;16;9.97625;-43.0063;-86.1177;11.2664;5990.27;6.74117;0;0;2.34599e-08;0.01;0;4.45862;101;0;-1
150;17;10.0055;-23.3469;-87.3406;11.2225;5920.54;6.71457;0;0;2.93249e-08;0.01;0;4.64166;101;0;-1
150;18;10.6949;-5.98953;-85.5546;9.78289;3921.85;5.86885;0;0;3.66562e-08;0.01;0;4.14947;101;0;-1
150;19;10.7811;10.3202;-86.6854;9.77127;3907.89;5.85813;0;0;2.34599e-08;0.01;0;4.00605;101;0;-1
150;20;10.3753;27.8073;-86.0341;9.91978;4088.79;5.95167;0;0;2.93249e-08;0.01;0;4.90836;101;0;-1
150;21;10.0047;41.6959;-95.0307;9.08345;3139.36;5.433;0;0;2.93249e-08;0.01;0;2.038;101;0;-1
150;22;25.3714;-52.0629;-85.0425;10.5432;4909.19;6.3119;0;0;2.93249e-08;0.01;0;3.53778;101;0;-1
150;23;25.2713;-32.7332;-87.2074;11.226;5926.08;6.71905;0;0;3.66562e-08;0.01;0;3.96771;101;0;-1
150;24;25.2527;-15.0511;-84.7853;9.49686;3587.8;5.69952;0;0;5.72752e-08;0.01;0;4.80148;101;0;-1
150;25;25.1089;1.8352;-86.1866;9.60483;3711.56;5.7626;0;0;2.93249e-08;0.01;0;5.47538;101;0;-1
150;26;25.1234;19.065;-86.9662;9.96507;4145.05;5.98362;0;0;4.58202e-08;0.01;0;5.27529;101;0;-1
