Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
360;0;-56.7299;-4.3833;-93.733;10.5603;4933.07;6.2584;0;0;3.05848e-18;0.01;0;4.07559;101;0;-1
360;1;-42.2656;-32.5254;-95.2869;12.3371;7865.58;7.31517;0;0;1.25275e-18;0.01;0;3.21459;101;0;-1
360;2;-36.5815;-14.1633;-103.94;10.573;4950.87;6.27363;0;0;3.8231e-18;0.01;0;3.36302;101;0;-1
360;3;-39.5176;3.11028;-94.4714;11.2351;5940.51;6.67391;0;0;1.56594e-18;0.01;0;5.90863;101;0;-1
360;4;-40.1842;24.0132;-93.2875;12.5248;8229.94;7.43154;0;0;2.44678e-18;0.01;0;5.32221;101;0;-1
360;5;-24.6667;-44.4729;-92.451;11.6821;6678.11;6.94614;0;0;3.05848e-18;0.01;0;6.36158;101;0;-1
360;6;-23.7528;-25.6011;-96.7284;11.0407;5637.35;6.58878;0;0;5.97359e-18;0.01;0;5.67886;101;0;-1
360;7;-23.4796;-6.60732;-93.1983;10.9444;5491.17;6.50909;0;0;1.95743e-18;0.01;0;5.59682;101;0;-1
360;8;-22.6679;12.7807;-93.1116;11.2101;5900.94;6.65519;0;0;1.56594e-18;0.01;0;5.57935;101;0;-1
360;9;-22.0232;33.4926;-91.6935;11.405;6213.99;6.78135;0;0;2.44678e-18;0.01;0;5.26894;101;0;-1
360;10;-7.92943;-54.3431;-91.982;10.2656;4531.46;6.08132;0;0;1.95743e-18;0.01;0;5.4653;101;0;-1
360;11;-6.82915;-35.8269;-94.709;11.6551;6631.86;6.91096;0;0;1.25275e-18;0.01;0;5.50822;101;0;-1
360;12;-6.48406;-17.8241;-95.6307;11.2304;5933.05;6.67489;0;0;2.44678e-18;0.01;0;3.62181;101;0;-1
360;13;-5.17548;2.1245;-97.4045;12.7894;8762.65;7.58163;0;0;1.25275e-18;0.01;0;2.67843;101;0;-1
360;14;-5.0343;22.7456;-95.0037;12.7246;8630.12;7.54606;0;0;2.44678e-18;0.01;0;2.10916;101;0;-1
360;15;-7.94938;40.002;-104.65;12.1286;7473.41;7.18926;0;0;1.25275e-18;0.01;0;1.40894;101;0;-1
360;16;9.99845;-48.7398;-94.2366;12.6108;8400.71;7.48388;0;0;3.05848e-18;0.01;0;4.44408;101;0;-1
360;17;10.0295;-26.7263;-95.1778;12.6318;8442.74;7.4928;0;0;2.44678e-18;0.01;0;2.92206;101;0;-1
360;18;11.8745;-7.07799;-94.9895;11.0748;5689.75;6.5774;0;0;1.56594e-18;0.01;0;3.54426;102;0;-1
360;19;10.1542;10.7574;-93.9987;10.993;5564.67;6.54023;0;0;1.95743e-18;0.01;0;3.29318;101;0;-1
360;20;10.0139;30.049;-94.9685;11.1006;5729.61;6.59624;0;0;1.95743e-18;0.01;0;5.19887;101;0;-1
360;21;10.2533;47.0343;-103.833;10.1881;4429.61;6.03575;0;0;1.56594e-18;0.01;0;2.74743;101;0;-1
360;22;27.5028;-58.5045;-92.8068;11.8694;7004.48;7.04978;0;0;1.95743e-18;0.01;0;3.79064;101;0;-1
