Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
1050;0;-51.6349;-1.02365;-87.3002;9.14304;3201.55;5.26169;0;0;7.20661e-52;0.01;0;3.74353;102;0;-1
1050;1;-38.8816;-28.9382;-82.7023;10.5668;4942.25;6.07819;0;0;5.76529e-52;0.01;0;4.3787;102;0;-1
1050;2;-32.5561;-15.5156;-92.0221;9.12823;3186.02;5.25583;0;0;9.00826e-52;0.01;0;2.9766;102;0;-1
1050;3;-35.3141;1.91726;-86.3497;9.57321;3675.04;5.52165;0;0;9.00826e-52;0.01;0;5.25882;102;0;-1
1050;4;-37.4895;21.4669;-87.9102;10.8193;5304.99;6.22656;0;0;7.20661e-52;0.01;0;3.43687;102;0;-1
1050;5;-23.9998;-42.9023;-84.0315;10.0654;4271.5;5.81095;0;0;1.40754e-51;0.01;0;5.04477;102;0;-1
1050;6;-21.6148;-24.6317;-82.6258;9.33496;3407.42;5.38248;0;0;4.61223e-52;0.01;0;5.44649;102;0;-1
1050;7;-21.0262;-7.03164;-85.0426;9.27454;3341.68;5.34933;0;0;4.61223e-52;0.01;0;5.05287;102;0;-1
1050;8;-22.0244;12.7254;-87.7442;9.64564;3759.08;5.58803;0;0;4.29548e-51;0.01;0;4.693;102;0;-1
1050;9;-21.2228;30.5913;-85.4211;9.79597;3937.59;5.65556;0;0;1.40754e-51;0.01;0;4.8774;102;0;-1
1050;10;-10.2618;-52.1087;-88.1316;8.75092;2807.05;5.02531;0;0;5.76529e-52;0.01;0;3.41533;102;0;-1
1050;11;-9.35755;-35.3705;-89.1559;9.91621;4084.38;5.71602;0;0;5.76529e-52;0.01;0;2.58587;102;0;-1
1050;12;-7.03414;-15.8855;-85.6212;9.58649;3690.35;5.52818;0;0;5.76529e-52;0.01;0;3.7907;102;0;-1
1050;13;-6.3145;2.0485;-90.001;10.9814;5547.01;6.30784;0;0;5.76529e-52;0.01;0;4.04614;102;0;-1
1050;14;-6.55646;20.08;-83.3312;10.8602;5365.39;6.23883;0;0;5.76529e-52;0.01;0;5.09597;102;0;-1
1050;15;-10.0278;43.9735;-88.9469;10.2989;4575.73;5.92439;0;0;4.61223e-52;0.01;0;4.17568;102;0;-1
1050;16;11.6031;-45.1622;-86.7713;10.8433;5340.39;6.23704;0;0;5.76529e-52;0.01;0;4.16755;102;0;-1
1050;17;12.5015;-25.3977;-87.3122;10.795;5269.3;6.21846;0;0;1.12603e-51;0.01;0;4.17682;102;0;-1
1050;18;16.3808;-8.03896;-84.5901;9.42178;3503.38;5.42704;0;0;9.00826e-52;0.01;0;4.0257;102;0;-1
1050;19;8.67978;11.5739;-84.458;9.38408;3461.5;5.41943;0;0;7.20661e-52;0.01;0;4.46217;102;0;-1
1050;20;11.3403;28.1288;-86.3951;9.49069;3580.81;5.47429;0;0;7.20661e-52;0.01;0;4.12625;102;0;-1
1050;21;5.00718;39.9605;-95.5863;8.74335;2799.77;5.02197;0;0;7.20661e-52;0.01;0;2.64175;102;0;-1
1050;22;28.0883;-54.2772;-85.6531;10.1834;4423.54;5.87276;0;0;9.00826e-52;0.01;0;4.29974;102;0;-1
1050;23;28.2355;-36.076;-88.2181;10.7201;5160.47;6.15543;0;0;7.20661e-52;0.01;0;4.64027;102;0;-1
1050;24;28.5586;-19.2171;-84.4692;9.14014;3198.5;5.27557;0;0;9.00826e-52;0.01;0;4.84272;102;0;-1
1050;25;29.9882;1.77275;-85.6699;9.16728;3227.08;5.28836;0;0;7.20661e-52;0.01;0;4.96451;102;0;-1
1050;26;24.2161;17.4772;-85.2872;9.56145;3661.51;5.51767;0;0;7.20661e-52;0.01;0;4.92945;102;0;-1
1050;27;19.4008;43.6378;-87.0216;10.5524;4921.97;6.07243;0;0;7.20661e-52;0.01;0;4.7855;102;0;-1
1050;28;44.7156;-44.8262;-86.3066;10.6554;5067.48;6.11596;0;0;5.76529e-52;0.01;0;3.5742;102;0;-1
1050;29;42.828;-27.3027;-83.9828;9.13712;3195.33;5.24964;0;0;4.61223e-52;0.01;0;4.64233;102;0;-1
1050;30;42.7572;-10.3688;-89.2415;10.8698;5379.62;6.25683;0;0;7.20661e-52;0.01;0;3.52588;102;0;-1
1050;31;42.0166;13.2208;-91.3905;11.0044;5581.98;6.32654;0;0;7.20661e-52;0.01;0;2.92346;102;0;-1
1050;32;34.0528;31.4628;-92.4396;10.7841;5253.44;6.19979;0;0;7.20661e-52;0.01;0;3.48957;102;0;-1
1050;33;-72.5853;-8.84247;-70.2039;10.0547;4257.93;5.79818;0;0;4.61223e-52;0.01;0;4.10005;102;0;-1
1050;34;-62.4646;-49.167;-64.37;10.653;5064.18;6.13771;0;0;1.40754e-51;0.01;0;4.52405;102;0;-1
1050;35;-63.5363;-24.4261;-67.3289;9.99577;4183.47;5.74167;0;0;4.61223e-52;0.01;0;5.24657;102;0;-1
1050;36;-57.9061;-12.7838;-78.3837;9.19174;3252.98;5.2839;0;0;7.20661e-52;0.01;0;4.625;102;0;-1
1050;37;-61.0331;2.60399;-74.8109;8.71258;2770.32;5.01134;0;0;7.20661e-52;0.01;0;5.336;102;0;-1
1050;38;-63.2989;32.7522;-78.0576;9.13237;3190.35;5.25973;0;0;9.00826e-52;0.01;0;2.51581;102;0;-1
1050;39;-65.6983;48.4177;-71.2195;10.2792;4549.48;5.92358;0;0;9.00826e-52;0.01;0;1.83768;102;0;-1
1050;40;-45.8222;-54.8711;-66.7432;9.73428;3863.67;5.61133;0;0;1.40754e-51;0.01;0;4.21594;102;0;-1
1050;41;-50.6244;-37.5021;-71.0853;10.0902;4303.19;5.80636;0;0;4.61223e-52;0.01;0;4.46746;102;0;-1
1050;42;-41.8842;-11.6877;-80.0081;8.85802;2911.38;5.08757;0;0;1.12603e-51;0.01;0;5.6529;102;0;-1
1050;43;-45.3188;1.89974;-72.8734;9.06863;3124.01;5.21188;0;0;1.12603e-51;0.01;0;6.45129;102;0;-1
1050;44;-52.162;13.9228;-81.2586;9.11798;3175.3;5.25729;0;0;2.7491e-51;0.01;0;3.89076;102;0;-1
1050;45;-49.1742;41.4936;-73.5251;10.1625;4396.39;5.85983;0;0;4.61223e-52;0.01;0;3.59734;102;0;-1
1050;46;-39.5071;55.552;-74.6376;9.1214;3178.87;5.2404;0;0;1.12603e-51;0.01;0;4.5891;102;0;-1
1050;47;-29.622;-69.8441;-72.8598;9.38714;3464.88;5.43979;0;0;2.7491e-51;0.01;0;3.73781;102;0;-1
1050;48;-29.8962;-36.5733;-70.5117;8.77549;2830.75;5.04577;0;0;1.75943e-51;0.01;0;5.01397;102;0;-1
1050;49;-31.8037;-19.3359;-69.8744;9.5219;3616.26;5.49819;0;0;9.00826e-52;0.01;0;6.16503;102;0;-1
1050;50;-29.6639;-3.57013;-71.6579;9.13824;3196.51;5.24336;0;0;7.20661e-52;0.01;0;6.43281;102;0;-1
1050;51;-31.9507;12.8069;-73.074;10.0474;4248.62;5.7899;0;0;9.00826e-52;0.01;0;6.51502;102;0;-1
